,Sports,Religious,Nature,Theatre,Shopping,Picnic,聚类类别
0,2,77,79,69,68,95,1
1,2,62,76,76,69,68,1
2,2,50,97,87,50,75,1
3,2,68,77,95,76,61,1
4,2,98,54,59,95,86,1
5,3,52,109,93,52,76,1
6,3,64,85,82,73,69,1
7,3,54,107,92,54,76,1
8,3,64,108,64,54,93,1
9,3,86,76,74,74,103,1
10,3,107,54,64,103,94,1
11,3,103,60,63,102,93,1
12,3,64,82,82,75,69,1
13,3,93,54,74,103,69,1
14,3,63,82,81,78,69,1
15,3,82,79,75,75,82,1
16,5,59,131,103,54,86,1
17,5,56,124,108,56,85,1
18,4,85,67,111,65,72,1
19,5,114,83,65,114,102,1
20,4,93,82,79,79,90,1
21,4,105,52,75,113,78,1
22,5,69,118,74,66,101,1
23,4,71,123,64,59,102,1
24,5,88,94,81,79,91,1
25,5,83,99,89,74,91,1
26,5,69,133,74,54,101,1
27,5,128,53,74,117,105,1
28,5,74,123,69,61,101,1
29,5,79,93,118,90,72,1
30,4,51,115,110,51,84,1
31,5,69,93,93,81,79,1
32,4,100,53,86,112,78,1
33,4,88,69,108,71,77,1
34,4,93,84,75,84,112,1
35,4,79,86,110,93,73,1
36,4,87,72,112,63,71,1
37,5,65,128,79,56,101,1
38,4,91,66,110,69,71,1
39,4,93,79,74,92,90,1
40,5,59,118,108,63,85,1
41,5,65,103,90,80,79,1
42,4,87,89,76,89,111,1
43,4,93,85,79,85,91,1
44,5,93,94,79,79,113,1
45,5,74,130,74,53,101,1
46,4,118,59,69,119,97,1
47,4,101,61,76,113,78,1
48,5,88,99,79,83,114,1
49,4,74,87,87,79,79,1
50,14,148,59,104,208,119,2
51,5,93,89,74,89,93,1
52,4,79,103,68,103,85,1
53,4,76,92,111,90,71,1
54,8,94,140,89,118,92,0
55,8,108,109,89,89,143,0
56,6,98,89,133,79,79,1
57,8,84,118,102,94,90,1
58,8,138,74,79,143,118,2
59,6,74,109,103,89,88,1
60,8,118,104,94,94,118,1
61,8,94,128,89,128,99,0
62,8,64,155,118,64,97,1
63,6,84,108,138,103,79,0
64,8,108,109,94,99,138,0
65,6,89,108,128,116,81,0
66,6,103,79,148,74,79,1
67,6,103,109,99,89,108,1
68,8,108,99,94,94,138,0
69,8,108,109,104,79,133,0
70,8,138,59,84,138,128,2
71,8,79,143,113,69,109,1
72,8,84,153,79,64,113,0
73,8,74,148,118,64,104,1
74,8,74,153,118,59,99,1
75,6,118,64,101,133,92,2
76,6,69,153,113,59,99,0
77,6,123,68,89,128,90,2
78,6,99,104,128,64,78,1
79,6,124,59,84,143,88,2
80,6,84,131,128,93,81,0
81,6,113,64,89,141,86,2
82,6,118,64,99,134,88,2
83,8,89,143,84,64,118,1
84,6,98,89,133,69,79,1
85,6,98,104,109,91,101,1
86,8,84,143,74,74,133,0
87,8,123,64,93,148,90,2
88,6,84,113,141,98,81,0
89,6,59,148,125,59,97,1
90,8,143,69,79,143,123,2
91,8,94,133,84,125,97,0
92,8,84,108,113,93,90,0
93,8,84,138,89,69,123,1
94,6,84,108,133,98,81,0
95,6,99,84,138,69,83,1
96,8,113,94,84,109,128,0
97,6,148,64,74,138,128,2
98,8,84,138,113,64,114,1
99,6,98,79,138,79,79,1
100,8,133,84,84,133,118,2
101,6,79,113,106,87,88,1
102,8,113,104,84,94,148,0
103,6,69,138,113,79,99,1
104,6,83,103,98,99,90,1
105,8,69,143,123,71,97,1
106,8,118,94,99,99,143,0
107,6,74,133,99,74,113,1
108,12,115,94,163,109,92,0
109,12,123,124,109,114,168,0
110,12,94,133,157,133,95,0
111,12,104,123,163,128,89,0
112,14,99,198,89,74,153,0
113,14,113,148,99,148,110,0
114,14,94,163,99,94,153,0
115,12,133,104,119,129,133,0
116,14,163,69,94,188,143,2
117,12,74,158,158,74,119,0
118,12,123,124,109,129,143,0
119,12,94,137,148,113,100,0
120,12,123,129,139,99,143,0
121,12,89,163,99,79,143,0
