STG,SCG,STR,LPR,PEG, UNS
A1,B1,C1,D1,E1,very_low
A1,B1,C1,D1,E3,High
A1,B1,C1,D1,E1,Low
A1,B1,C1,D2,E1,Middle
A1,B1,C1,D3,E1,Low
A1,B1,C1,D1,E3,Middle
A1,B1,C2,D1,E3,Middle
A1,B1,C1,D1,E1,very_low
A1,B1,C1,D3,E1,Low
A1,B1,C2,D1,E3,High
A1,B1,C2,D1,E3,High
A1,B1,C2,D1,E1,Low
A1,B1,C2,D3,E1,Middle
A1,B1,C3,D1,E3,High
A1,B1,C3,D1,E3,Middle
A1,B1,C3,D1,E3,High
A1,B1,C3,D1,E1,very_low
A1,B1,C1,D1,E1,Low
A1,B1,C1,D1,E1,Low
A1,B1,C1,D1,E3,Middle
A1,B1,C1,D3,E1,Low
A1,B1,C1,D1,E3,Middle
A1,B1,C1,D1,E3,Middle
A1,B1,C1,D1,E1,Low
A1,B1,C1,D3,E1,Low
A1,B1,C3,D1,E3,High
A1,B1,C2,D1,E1,very_low
A1,B1,C3,D1,E1,Low
A1,B1,C3,D3,E3,High
A1,B1,C3,D1,E3,High
A1,B1,C3,D1,E3,Middle
A1,B1,C3,D2,E1,Low
A1,B1,C3,D3,E1,Low
A1,B1,C1,D1,E3,High
A1,B2,C1,D1,E3,High
A1,B1,C1,D1,E1,Low
A1,B2,C1,D3,E1,Low
A1,B2,C1,D1,E1,Low
A1,B1,C1,D1,E1,very_low
A1,B1,C1,D1,E2,Middle
A1,B1,C1,D3,E1,Low
A1,B3,C3,D1,E3,High
A1,B3,C2,D1,E3,Middle
A1,B1,C3,D2,E1,Middle
A1,B1,C3,D1,E1,very_low
A1,B1,C3,D1,E3,Middle
A1,B2,C3,D1,E3,Middle
A1,B2,C3,D1,E3,High
A1,B1,C3,D3,E3,High
A1,B3,C1,D1,E3,Middle
A1,B3,C1,D1,E1,Low
A1,B3,C1,D1,E2,Middle
A1,B3,C1,D3,E1,Low
A1,B3,C1,D1,E3,High
A1,B3,C1,D1,E3,Middle
A1,B3,C1,D1,E1,Low
A1,B3,C1,D3,E1,Middle
A1,B3,C3,D1,E3,Middle
A1,B3,C3,D1,E3,High
A1,B3,C3,D2,E1,Low
A1,B3,C2,D3,E1,Low
A1,B3,C3,D1,E3,Middle
A1,B3,C3,D1,E2,Middle
A1,B3,C3,D1,E1,Low
A1,B3,C3,D3,E1,Middle
A1,B1,C1,D1,E1,very_low
A1,B1,C1,D1,E1,very_low
A1,B1,C1,D2,E2,Middle
A1,B1,C1,D1,E1,Low
A1,B1,C1,D1,E3,Middle
A1,B1,C1,D1,E3,Middle
A1,B1,C1,D1,E3,High
A1,B1,C1,D2,E1,very_low
A1,B1,C2,D1,E3,Middle
A1,B1,C3,D1,E3,High
A1,B1,C2,D1,E1,very_low
A1,B1,C3,D3,E1,Low
A1,B1,C3,D1,E1,Low
A1,B1,C3,D1,E1,very_low
A1,B1,C3,D1,E1,Low
A1,B1,C3,D3,E1,Low
A1,B1,C1,D1,E3,Middle
A1,B1,C1,D1,E3,Middle
A1,B1,C1,D1,E1,Low
A1,B1,C1,D3,E1,Low
A1,B1,C1,D1,E1,very_low
A1,B1,C1,D1,E3,High
A1,B1,C1,D1,E1,Low
A1,B1,C1,D3,E1,Low
A1,B1,C2,D1,E3,Middle
A1,B1,C3,D1,E3,Middle
A1,B1,C2,D3,E1,Middle
A1,B1,C3,D2,E1,very_low
A1,B1,C3,D1,E1,Low
A1,B1,C3,D1,E3,High
A1,B1,C3,D2,E1,Low
A1,B1,C3,D3,E1,Low
A1,B1,C1,D1,E3,High
A1,B1,C1,D1,E3,Middle
A1,B1,C1,D1,E1,Low
A1,B1,C1,D1,E1,Low
A1,B1,C1,D1,E3,High
A1,B1,C1,D1,E3,Middle
A1,B1,C1,D1,E1,Low
A1,B1,C1,D3,E1,Low
A1,B1,C2,D1,E3,Middle
A1,B1,C3,D1,E3,Middle
A1,B1,C3,D1,E3,Middle
A1,B1,C2,D3,E1,Middle
A1,B1,C3,D1,E3,High
A1,B1,C3,D1,E1,Low
A1,B1,C3,D1,E1,Low
A1,B1,C3,D3,E3,High
A1,B3,C1,D1,E3,High
A1,B3,C1,D1,E3,Middle
A1,B3,C1,D2,E2,Middle
A1,B3,C1,D2,E1,very_low
A1,B3,C1,D3,E3,High
A1,B3,C2,D1,E3,Middle
A1,B3,C2,D1,E3,High
A1,B3,C1,D2,E1,Low
A1,B3,C1,D3,E1,Low
A1,B3,C2,D1,E1,Low
A1,B3,C2,D1,E3,Middle
A1,B3,C2,D1,E3,High
A1,B3,C3,D3,E2,High
A1,B3,C3,D1,E3,High
A1,B3,C3,D1,E1,Low
A1,B3,C3,D2,E1,Low
A1,B3,C3,D3,E1,Middle
A1,B1,C1,D1,E1,Low
A2,B1,C1,D1,E3,Middle
A2,B1,C1,D2,E1,very_low
A2,B1,C1,D3,E3,High
A2,B1,C1,D1,E3,Middle
A2,B1,C1,D1,E2,Middle
A1,B1,C1,D1,E1,Low
A1,B1,C1,D3,E1,Low
A2,B1,C3,D1,E3,Middle
A1,B1,C2,D1,E1,Low
A1,B1,C2,D2,E1,very_low
A2,B1,C3,D3,E1,Middle
A2,B1,C3,D1,E3,Middle
A1,B1,C3,D1,E1,Low
A2,B1,C3,D2,E2,Middle
A2,B1,C3,D3,E3,High
A1,B1,C1,D1,E1,Low
A1,B1,C1,D1,E1,very_low
A1,B1,C1,D2,E1,Low
A2,B1,C1,D2,E3,High
A2,B1,C1,D1,E3,High
A1,B1,C1,D1,E1,Low
A1,B1,C1,D1,E1,very_low
A1,B1,C1,D3,E1,Low
A2,B1,C2,D1,E3,Middle
A2,B1,C2,D1,E3,Middle
A2,B1,C3,D1,E2,Middle
A2,B1,C3,D3,E3,High
A2,B1,C3,D1,E3,Middle
A2,B1,C3,D1,E3,Middle
A1,B1,C3,D2,E1,Low
A1,B1,C3,D3,E1,Middle
A2,B2,C1,D1,E3,High
A2,B2,C1,D1,E3,High
A1,B1,C1,D1,E1,very_low
A2,B1,C1,D1,E3,High
A1,B2,C1,D1,E3,Middle
A1,B1,C2,D1,E3,High
A1,B1,C1,D2,E1,Low
A2,B3,C1,D1,E3,High
A2,B1,C3,D1,E1,Low
A2,B1,C3,D1,E2,Middle
A2,B1,C3,D2,E3,High
A2,B2,C3,D3,E1,Low
A2,B2,C3,D1,E3,Middle
A1,B2,C3,D1,E1,Low
A1,B2,C3,D2,E1,Low
A2,B1,C3,D3,E3,High
A2,B3,C1,D1,E3,Middle
A2,B3,C1,D1,E3,High
A1,B3,C1,D2,E1,Low
A2,B3,C1,D3,E3,High
A2,B3,C1,D1,E3,High
A1,B3,C1,D1,E1,Low
A1,B3,C1,D2,E1,Low
A2,B3,C1,D3,E1,Low
A2,B3,C3,D1,E3,High
A2,B3,C3,D1,E3,Middle
A1,B3,C3,D2,E1,Low
A2,B3,C2,D3,E2,High
A2,B3,C3,D1,E3,Middle
A2,B3,C3,D1,E3,High
A1,B3,C3,D1,E2,Middle
A2,B3,C3,D3,E3,High
A3,B1,C1,D1,E3,Middle
A3,B1,C1,D1,E1,Low
A3,B1,C1,D1,E1,very_low
A3,B1,C1,D3,E1,Low
A3,B1,C1,D1,E3,Middle
A3,B1,C1,D1,E1,very_low
A3,B1,C1,D2,E1,very_low
A3,B1,C1,D2,E2,Middle
A3,B1,C2,D1,E1,very_low
A3,B1,C3,D1,E1,Low
A3,B1,C3,D2,E3,High
A3,B1,C2,D3,E1,Low
A3,B1,C3,D1,E3,Middle
A3,B1,C3,D1,E3,Middle
A3,B1,C3,D1,E1,very_low
A3,B1,C3,D3,E3,High
A3,B1,C1,D1,E3,Middle
A3,B1,C1,D1,E2,Middle
A3,B1,C1,D2,E3,High
A3,B1,C1,D3,E1,Middle
A3,B1,C2,D1,E3,Middle
A3,B1,C1,D1,E1,Low
A3,B1,C1,D1,E1,Low
A3,B1,C1,D3,E3,High
A2,B1,C2,D1,E3,Middle
A3,B1,C3,D1,E1,Low
A3,B1,C2,D2,E1,Low
A3,B1,C3,D3,E1,Middle
A3,B1,C3,D1,E3,Middle
A3,B1,C3,D1,E3,Middle
A3,B1,C3,D2,E1,Low
A3,B1,C3,D3,E3,High
A3,B2,C1,D1,E3,Middle
A3,B1,C1,D1,E1,Low
A3,B1,C1,D2,E3,High
A3,B3,C1,D3,E3,High
A3,B2,C1,D1,E3,Middle
A3,B1,C1,D1,E1,Low
A2,B2,C1,D2,E1,Low
A3,B2,C2,D3,E3,High
A3,B1,C2,D1,E3,Middle
A3,B1,C2,D1,E1,Low
A3,B2,C2,D2,E1,Low
A3,B1,C2,D1,E3,High
A3,B1,C3,D1,E3,Middle
A3,B2,C3,D1,E3,Middle
A2,B2,C3,D2,E1,Low
A3,B2,C3,D3,E3,High
A3,B3,C1,D1,E3,Middle
A3,B3,C1,D1,E1,Low
A3,B3,C1,D2,E1,Middle
A3,B3,C1,D3,E3,High
A3,B3,C1,D1,E3,Middle
A3,B3,C1,D1,E1,Low
A3,B3,C2,D2,E3,High
A3,B3,C2,D3,E2,Middle
A3,B3,C3,D1,E3,Middle
A3,B3,C3,D1,E2,Middle
A3,B3,C2,D2,E1,Low
A3,B3,C3,D3,E3,High
A3,B3,C3,D1,E3,Middle
A3,B3,C3,D1,E3,High
A2,B3,C3,D2,E1,Middle
A3,B3,C3,D3,E3,High
